2.0210 1.9591 -6.9356 8.5318 -3.6923
2.2730 0.6941 -3.3390 5.7404 -3.9603
2.5257 0.1530 -1.1966 2.7385 -2.6205
2.7783 -0.0168 -0.3147 0.7521  -0.5492
3.0310 -0.0571 -0.0398 0.3359 -0.3783
3.2837 -0.0518 0.0575 0.0491 -0.2411
3.5363 -0.0381 0.0362 -0.1336 -0.0514
3.7890 -0.0383 -0.0412 -0.1726 0.3073
4.0417 -0.0548 -0.0696 0.0603 0.1873
4.2943 -0.0655 -0.0032 0.2023 -0.1897
4.5470 -0.0564 0.0626 0.0585 -0.0688
4.7997 -0.0380 0.0790 0.0064 -0.0802
5.0523 -0.0189 0.0669 -0.0545 0.0001
5.3050 -0.0055 0.0394 -0.0544 -0.0619
5.5580 0.0 0.0 0.0 0.0 
